country_or_area,year,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category,trade_usd_billions
Argentina,2015,Plastics,Export,9639930600.0,28325169.0,Number of items,9991989.0,Plastics,9.6399
UK,2022,Fuel,Export,2418851161.0,47834434.0,Weight in kg,5903160.0,Chemicals,2.4189
Mexico,2014,Fuel,Export,1733739365.0,87633625.0,Number of items,6322883.0,Food,1.7337
UK,2017,Textiles,Export,8463543059.0,57423.0,Weight in kg,2187525.0,Vehicles,8.4635
China,2013,Fuel,Import,2784870125.0,22174065.0,Number of items,5606438.0,Pharmaceuticals,2.7849
UK,2022,Plastics,Import,5282002366.0,35989247.0,Volume in liters,4655342.0,Chemicals,5.282
Argentina,2015,Chemicals,Export,8426962471.0,143894.0,Number of items,9712108.0,Vehicles,8.427
Argentina,2010,Machinery,Import,8502598226.0,83786147.0,Number of items,7542311.0,Food,8.5026
Argentina,2015,Fuel,Import,7386256523.0,65324472.0,Number of items,9326030.0,Plastics,7.3863
Japan,2020,Metals,Export,8381516173.0,32165388.0,Volume in liters,3379787.0,Food,8.3815
India,2020,Fuel,Import,6226133462.0,80746814.0,Weight in kg,1950510.0,Pharmaceuticals,6.2261
UK,2011,Food,Export,827991486.0,72549837.0,Weight in kg,7169055.0,Machinery,0.828
Japan,2012,Machinery,Export,859671376.0,33913768.0,Number of items,9993173.0,Food,0.8597
India,2019,Chemicals,Export,8558111432.0,59262468.0,Number of items,9052517.0,Chemicals,8.5581
Argentina,2013,Electronics,Export,8917968911.0,53615355.0,Weight in kg,6523482.0,Plastics,8.918
UK,2022,Food,Export,1168264336.0,54658852.0,Volume in liters,6436673.0,Electronics,1.1683
Brazil,2018,Food,Export,7893880238.0,64974787.0,Weight in kg,1389970.0,Metals,7.8939
France,2011,Machinery,Export,5793153334.0,26609131.0,Number of items,239288.0,Metals,5.7932
Germany,2016,Fuel,Export,9370623071.0,26120827.0,Weight in kg,2782689.0,Metals,9.3706
Japan,2018,Metals,Import,6283757004.0,14069464.0,Number of items,3970651.0,Chemicals,6.2838
Brazil,2010,Textiles,Import,6882699170.0,97723204.0,Number of items,703090.0,Machinery,6.8827
Argentina,2022,Vehicles,Export,4746609388.0,27329194.0,Number of items,2203607.0,Vehicles,4.7466
India,2016,Chemicals,Export,7803337681.0,54874120.0,Number of items,8612730.0,Chemicals,7.8033
China,2023,Metals,Export,3387499863.0,77461753.0,Volume in liters,3101782.0,Fuel,3.3875
Japan,2023,Pharmaceuticals,Import,8744096096.0,71485887.0,Weight in kg,4539569.0,Vehicles,8.7441
India,2021,Electronics,Import,2257334304.0,31384342.0,Volume in liters,7443937.0,Food,2.2573
Brazil,2015,Plastics,Export,5685403364.0,26347519.0,Volume in liters,7329021.0,Food,5.6854
Brazil,2013,Food,Export,6534449605.0,8243204.0,Number of items,4675332.0,Chemicals,6.5344
Australia,2017,Metals,Import,4337159555.0,29493330.0,Weight in kg,3418764.0,Pharmaceuticals,4.3372
India,2021,Fuel,Import,3206438487.0,40533867.0,Weight in kg,6658890.0,Electronics,3.2064
Nigeria,2012,Metals,Export,2056855814.0,97717430.0,Volume in liters,1129633.0,Fuel,2.0569
Brazil,2021,Chemicals,Export,2803590152.0,85082357.0,Volume in liters,3540138.0,Machinery,2.8036
Mexico,2016,Textiles,Import,7864764228.0,82978076.0,Weight in kg,9926791.0,Plastics,7.8648
Argentina,2023,Vehicles,Export,2674715316.0,29388571.0,Number of items,8856192.0,Fuel,2.6747
Australia,2023,Food,Export,9593483008.0,68133910.0,Volume in liters,829634.0,Metals,9.5935
Brazil,2011,Vehicles,Import,6940493182.0,56608216.0,Weight in kg,2891128.0,Chemicals,6.9405
Australia,2013,Metals,Import,8691998982.0,44938468.0,Number of items,5306932.0,Textiles,8.692
Mexico,2021,Textiles,Export,5138168006.0,68807073.0,Number of items,4879843.0,Electronics,5.1382
Mexico,2018,Vehicles,Export,2099101341.0,89445656.0,Weight in kg,3163673.0,Chemicals,2.0991
USA,2014,Electronics,Import,37521274.0,82373958.0,Volume in liters,162261.0,Fuel,0.0375
Germany,2018,Textiles,Import,1486732411.0,24449698.0,Volume in liters,4566543.0,Metals,1.4867
India,2013,Vehicles,Import,4119586560.0,44483147.0,Weight in kg,9915208.0,Chemicals,4.1196
Brazil,2014,Textiles,Import,661132858.0,71602348.0,Number of items,2363371.0,Pharmaceuticals,0.6611
Australia,2013,Vehicles,Export,8711590219.0,64119604.0,Volume in liters,7332376.0,Pharmaceuticals,8.7116
Germany,2021,Electronics,Export,2646154097.0,35869581.0,Volume in liters,8954174.0,Fuel,2.6462
France,2023,Fuel,Import,30258069.0,82116656.0,Volume in liters,5692208.0,Metals,0.0303
Mexico,2021,Machinery,Import,208084726.0,53258280.0,Weight in kg,5350799.0,Machinery,0.2081
Nigeria,2014,Fuel,Import,7235975849.0,24084709.0,Volume in liters,1659665.0,Machinery,7.236
USA,2019,Metals,Import,295072686.0,86431179.0,Number of items,647038.0,Plastics,0.2951
France,2014,Pharmaceuticals,Export,6720650647.0,38184050.0,Number of items,3084269.0,Chemicals,6.7207
India,2015,Textiles,Export,6296520877.0,19084784.0,Weight in kg,6675930.0,Vehicles,6.2965
Japan,2017,Plastics,Export,5565265297.0,57224505.0,Weight in kg,2469319.0,Metals,5.5653
Mexico,2019,Chemicals,Export,5544272986.0,78432220.0,Volume in liters,7026106.0,Vehicles,5.5443
Japan,2021,Plastics,Import,3659776620.0,6367489.0,Volume in liters,323118.0,Vehicles,3.6598
Japan,2014,Vehicles,Export,1893833289.0,42997762.0,Volume in liters,466830.0,Food,1.8938
Japan,2020,Vehicles,Export,4102063502.0,86149891.0,Weight in kg,6786145.0,Vehicles,4.1021
India,2012,Plastics,Export,5648349842.0,34750033.0,Weight in kg,1718041.0,Plastics,5.6483
Japan,2021,Food,Import,9221266074.0,19432978.0,Volume in liters,2846377.0,Pharmaceuticals,9.2213
China,2023,Pharmaceuticals,Export,4457117046.0,3820917.0,Weight in kg,1166782.0,Metals,4.4571
UK,2022,Pharmaceuticals,Export,9715585562.0,15195629.0,Weight in kg,6156801.0,Food,9.7156
Nigeria,2015,Textiles,Import,430228129.0,64892218.0,Number of items,2322558.0,Fuel,0.4302
China,2013,Chemicals,Export,5451697151.0,87333076.0,Weight in kg,2348238.0,Food,5.4517
Germany,2020,Chemicals,Export,8327493519.0,38538116.0,Volume in liters,7208607.0,Chemicals,8.3275
USA,2023,Electronics,Import,1929961142.0,37657441.0,Number of items,897970.0,Food,1.93
USA,2015,Vehicles,Import,8362542701.0,89724791.0,Number of items,695695.0,Metals,8.3625
India,2012,Pharmaceuticals,Export,5172127442.0,62425314.0,Weight in kg,8565545.0,Plastics,5.1721
India,2015,Electronics,Import,1960512895.0,14070497.0,Volume in liters,381325.0,Plastics,1.9605
Germany,2015,Metals,Import,6966094081.0,64200475.0,Weight in kg,1035801.0,Pharmaceuticals,6.9661
Nigeria,2015,Electronics,Import,5578083637.0,57792143.0,Volume in liters,8669744.0,Food,5.5781
Germany,2016,Textiles,Import,6062069780.0,63331091.0,Weight in kg,5392510.0,Chemicals,6.0621
India,2010,Electronics,Export,2592589575.0,424722.0,Volume in liters,232782.0,Food,2.5926
India,2013,Electronics,Export,7286325433.0,95820264.0,Weight in kg,2959522.0,Textiles,7.2863
UK,2014,Chemicals,Import,3173976575.0,27223794.0,Volume in liters,3812370.0,Vehicles,3.174
Japan,2023,Chemicals,Export,2351262842.0,95223865.0,Number of items,9862338.0,Food,2.3513
France,2012,Machinery,Import,7334062584.0,33044881.0,Number of items,6567085.0,Electronics,7.3341
Brazil,2019,Plastics,Export,6194408739.0,78063460.0,Weight in kg,3855006.0,Vehicles,6.1944
Japan,2013,Plastics,Export,8205275228.0,9474445.0,Weight in kg,9112975.0,Plastics,8.2053
Mexico,2020,Fuel,Export,6242925954.0,32549396.0,Number of items,629583.0,Chemicals,6.2429
France,2012,Machinery,Import,3092669608.0,37375252.0,Weight in kg,5697804.0,Pharmaceuticals,3.0927
Argentina,2017,Vehicles,Import,8905641159.0,9269964.0,Number of items,7670188.0,Chemicals,8.9056
Mexico,2015,Vehicles,Import,9296722172.0,48351270.0,Number of items,6415922.0,Fuel,9.2967
India,2010,Metals,Export,5423766830.0,68666987.0,Weight in kg,157340.0,Vehicles,5.4238
Argentina,2015,Plastics,Export,7564285824.0,99563610.0,Weight in kg,6075425.0,Plastics,7.5643
China,2023,Chemicals,Import,6627279770.0,90615867.0,Weight in kg,6002408.0,Vehicles,6.6273
Australia,2021,Machinery,Export,4643122199.0,44854035.0,Volume in liters,2560666.0,Fuel,4.6431
Australia,2016,Machinery,Export,8579431286.0,88741971.0,Number of items,2947507.0,Metals,8.5794
India,2022,Chemicals,Export,5303125121.0,63251038.0,Volume in liters,9354830.0,Electronics,5.3031
UK,2015,Metals,Import,4458598049.0,52796898.0,Weight in kg,4910574.0,Fuel,4.4586
Brazil,2017,Pharmaceuticals,Import,9107838195.0,94868275.0,Number of items,5541948.0,Plastics,9.1078
Mexico,2016,Pharmaceuticals,Import,5978737255.0,87257132.0,Volume in liters,2709860.0,Fuel,5.9787
India,2020,Electronics,Import,1633031697.0,84522524.0,Weight in kg,1223944.0,Chemicals,1.633
Japan,2018,Vehicles,Export,7578657736.0,32065617.0,Volume in liters,5369070.0,Chemicals,7.5787
UK,2013,Plastics,Export,4935769096.0,91216577.0,Volume in liters,4272420.0,Plastics,4.9358
India,2019,Textiles,Import,8588153411.0,5725816.0,Number of items,2283265.0,Chemicals,8.5882
Nigeria,2014,Pharmaceuticals,Import,2760844593.0,84340795.0,Volume in liters,8819598.0,Vehicles,2.7608
Nigeria,2022,Vehicles,Export,2495036217.0,26673005.0,Weight in kg,1502907.0,Machinery,2.495
UK,2023,Machinery,Import,5971372535.0,27709950.0,Weight in kg,2399381.0,Fuel,5.9714
UK,2011,Chemicals,Import,4336600640.0,20521572.0,Number of items,3851338.0,Pharmaceuticals,4.3366
India,2016,Metals,Import,5934473481.0,59846085.0,Weight in kg,5786692.0,Pharmaceuticals,5.9345
Australia,2015,Vehicles,Export,9063911939.0,61086022.0,Volume in liters,6632145.0,Textiles,9.0639
Nigeria,2010,Plastics,Export,9262488620.0,11994491.0,Number of items,6155202.0,Plastics,9.2625
Australia,2017,Fuel,Import,5831063573.0,19573503.0,Number of items,5993835.0,Fuel,5.8311
France,2010,Fuel,Import,1933089458.0,96167064.0,Weight in kg,5487112.0,Fuel,1.9331
Mexico,2019,Plastics,Export,1456010603.0,44482734.0,Weight in kg,1736408.0,Vehicles,1.456
Brazil,2012,Electronics,Export,715383063.0,19583306.0,Number of items,7506821.0,Metals,0.7154
Mexico,2019,Pharmaceuticals,Import,6872798174.0,11038392.0,Number of items,7066501.0,Machinery,6.8728
China,2011,Metals,Export,9039589048.0,82259197.0,Number of items,649175.0,Machinery,9.0396
Brazil,2020,Electronics,Export,3228739993.0,36367066.0,Number of items,7139366.0,Chemicals,3.2287
Japan,2022,Vehicles,Export,5060851721.0,22880788.0,Weight in kg,5155445.0,Food,5.0609
USA,2010,Electronics,Import,7476123518.0,62688873.0,Number of items,3096303.0,Metals,7.4761
Australia,2021,Fuel,Import,2013789904.0,18751751.0,Number of items,2183671.0,Vehicles,2.0138
France,2010,Electronics,Export,3330043439.0,38157831.0,Volume in liters,7404440.0,Metals,3.33
UK,2018,Vehicles,Export,2088730953.0,35701204.0,Number of items,721098.0,Plastics,2.0887
Nigeria,2020,Pharmaceuticals,Export,7312020175.0,8231175.0,Volume in liters,5860896.0,Metals,7.312
India,2015,Plastics,Export,9384751019.0,95974051.0,Volume in liters,6256509.0,Vehicles,9.3848
Germany,2018,Machinery,Import,1343335991.0,93587049.0,Number of items,2863606.0,Vehicles,1.3433
Germany,2020,Plastics,Import,5289451656.0,27358038.0,Volume in liters,3132245.0,Vehicles,5.2895
Mexico,2013,Metals,Import,6894951563.0,92946674.0,Number of items,2463773.0,Electronics,6.895
Brazil,2022,Pharmaceuticals,Import,3151476611.0,51543075.0,Volume in liters,6546228.0,Fuel,3.1515
Japan,2023,Machinery,Export,7356028314.0,57144623.0,Weight in kg,9457285.0,Plastics,7.356
USA,2011,Plastics,Import,7908802073.0,10952720.0,Number of items,1449124.0,Textiles,7.9088
Australia,2022,Fuel,Export,1140645610.0,34990892.0,Number of items,717476.0,Food,1.1406
Nigeria,2014,Machinery,Export,4652700327.0,48393274.0,Volume in liters,7077880.0,Chemicals,4.6527
China,2023,Textiles,Import,2193855236.0,90194892.0,Volume in liters,102580.0,Food,2.1939
Nigeria,2010,Pharmaceuticals,Export,1913904138.0,17892992.0,Number of items,9742556.0,Plastics,1.9139
USA,2013,Chemicals,Export,4229116423.0,61256250.0,Number of items,3598029.0,Textiles,4.2291
Brazil,2020,Fuel,Export,1565230905.0,59386891.0,Volume in liters,2297520.0,Machinery,1.5652
India,2021,Electronics,Export,9712550032.0,80575420.0,Volume in liters,238963.0,Textiles,9.7126
India,2022,Plastics,Export,4639471742.0,78842145.0,Volume in liters,5325869.0,Machinery,4.6395
Japan,2012,Fuel,Import,3836333557.0,82797674.0,Volume in liters,11667.0,Plastics,3.8363
Mexico,2019,Machinery,Export,1692132565.0,93308817.0,Weight in kg,8324759.0,Electronics,1.6921
Brazil,2011,Vehicles,Import,7855160127.0,12733240.0,Weight in kg,1868623.0,Machinery,7.8552
China,2022,Metals,Import,5409549511.0,21663102.0,Volume in liters,3639118.0,Electronics,5.4095
India,2018,Pharmaceuticals,Export,5926412567.0,70072282.0,Weight in kg,69199.0,Textiles,5.9264
Brazil,2010,Food,Import,593201696.0,52207048.0,Number of items,4809502.0,Metals,0.5932
Brazil,2016,Electronics,Export,4350829656.0,90430327.0,Volume in liters,7139874.0,Machinery,4.3508
Argentina,2023,Fuel,Import,5528956593.0,96713168.0,Volume in liters,2569940.0,Machinery,5.529
Australia,2023,Food,Export,6008472581.0,5481264.0,Volume in liters,6746124.0,Fuel,6.0085
France,2012,Chemicals,Import,2038430570.0,72776255.0,Number of items,8417718.0,Electronics,2.0384
India,2011,Chemicals,Import,9240697942.0,32276357.0,Weight in kg,1710262.0,Machinery,9.2407
USA,2013,Vehicles,Import,9899910829.0,33231546.0,Number of items,4001320.0,Plastics,9.8999
UK,2015,Pharmaceuticals,Import,5619876066.0,35308475.0,Number of items,7275743.0,Textiles,5.6199
USA,2015,Vehicles,Import,7856580265.0,44639314.0,Weight in kg,9969270.0,Machinery,7.8566
Brazil,2015,Plastics,Import,3326672986.0,82054742.0,Weight in kg,8522387.0,Fuel,3.3267
China,2010,Plastics,Export,3504105972.0,66881221.0,Weight in kg,8822768.0,Food,3.5041
Argentina,2022,Pharmaceuticals,Import,8632473516.0,16437088.0,Number of items,8950182.0,Machinery,8.6325
Argentina,2012,Machinery,Export,3381446466.0,34347098.0,Weight in kg,6903890.0,Machinery,3.3814
Nigeria,2015,Plastics,Export,9988012546.0,14981366.0,Number of items,2214405.0,Metals,9.988
UK,2011,Chemicals,Import,1806769569.0,3865163.0,Number of items,1951490.0,Plastics,1.8068
Australia,2022,Food,Export,7126620153.0,69485942.0,Number of items,4510009.0,Vehicles,7.1266
France,2021,Pharmaceuticals,Export,3321849538.0,73404251.0,Weight in kg,8166326.0,Plastics,3.3218
UK,2012,Electronics,Import,9395066979.0,992021.0,Volume in liters,7739538.0,Food,9.3951
Germany,2010,Electronics,Import,8586635469.0,20060246.0,Number of items,1204244.0,Electronics,8.5866
Brazil,2010,Metals,Export,2293139355.0,78959504.0,Weight in kg,8596423.0,Machinery,2.2931
UK,2014,Textiles,Export,7699582982.0,60310742.0,Number of items,7790887.0,Machinery,7.6996
Australia,2013,Plastics,Import,2602995942.0,10364567.0,Weight in kg,9738701.0,Electronics,2.603
Brazil,2018,Metals,Export,4251057793.0,96344684.0,Weight in kg,807544.0,Fuel,4.2511
Nigeria,2010,Fuel,Export,4651535122.0,2730324.0,Volume in liters,9599547.0,Fuel,4.6515
India,2012,Vehicles,Export,3671836429.0,84496847.0,Volume in liters,5481498.0,Metals,3.6718
Germany,2011,Vehicles,Export,9824213852.0,46191907.0,Weight in kg,9262501.0,Pharmaceuticals,9.8242
Nigeria,2022,Machinery,Import,7517050019.0,66456565.0,Number of items,5878576.0,Electronics,7.5171
USA,2017,Chemicals,Import,3865527647.0,94388889.0,Volume in liters,8803604.0,Fuel,3.8655
Brazil,2011,Metals,Import,114473276.0,63312292.0,Number of items,9360349.0,Metals,0.1145
France,2010,Food,Import,2585196110.0,80929161.0,Volume in liters,5070097.0,Textiles,2.5852
USA,2022,Vehicles,Export,2013432397.0,96705099.0,Number of items,5413191.0,Electronics,2.0134
India,2016,Metals,Export,8709259135.0,21106132.0,Number of items,2659890.0,Chemicals,8.7093
Mexico,2021,Chemicals,Export,1975441804.0,19314070.0,Weight in kg,8080876.0,Chemicals,1.9754
