product_type,sku,price,availability,number_of_products_sold,revenue_generated,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,defect_rate_pct,supplier_risk_score
accessories,SKU00000,128.97,265,1124,30760.62,108,15,22,7,Carrier B,70.08,Supplier_2,Mumbai,779,17,145.54,Pass,0.1241,Sea,Route B,756.03,12.41,69.68
cosmetics,SKU00001,249.27,322,463,33230.89,412,24,319,8,Carrier B,33.43,Supplier_1,Delhi,3746,2,212.52,Pending,0.102,Rail,Route A,1908.41,10.2,73.66
cosmetics,SKU00002,249.14,154,1808,30733.7,317,14,227,1,Carrier C,132.51,Supplier_2,Delhi,3719,2,336.76,Fail,0.054,Rail,Route B,697.25,5.4,40.1
accessories,SKU00003,144.73,362,985,12886.47,908,7,288,12,Carrier C,87.0,Supplier_2,Chennai,3720,12,447.11,Pass,0.0659,Road,Route A,413.58,6.59,34.88
cosmetics,SKU00004,231.53,426,827,18877.17,711,20,496,6,Carrier C,58.21,Supplier_2,Bangalore,2192,1,411.74,Pass,0.0497,Rail,Route C,1094.88,4.97,46.94
accessories,SKU00005,140.13,52,1884,42225.55,969,16,316,8,Carrier C,48.86,Supplier_4,Delhi,4536,11,466.69,Pass,0.0468,Road,Route A,483.77,4.68,40.06
accessories,SKU00006,115.14,59,915,47306.6,505,6,224,4,Carrier B,190.07,Supplier_5,Mumbai,4763,18,277.78,Pass,0.0018,Air,Route C,1274.56,0.18,7.71
haircare,SKU00007,166.04,90,1457,9141.96,914,17,214,4,Carrier C,98.95,Supplier_4,Chennai,4183,18,241.21,Pass,0.0388,Rail,Route B,618.62,3.88,38.28
haircare,SKU00008,64.4,165,872,627.73,704,7,13,9,Carrier C,198.27,Supplier_4,Bangalore,2322,14,272.19,Pass,0.1044,Rail,Route C,764.64,10.44,50.34
skincare,SKU00009,98.39,154,1127,48076.89,411,10,444,9,Carrier A,67.64,Supplier_4,Chennai,3262,18,467.94,Fail,0.0813,Sea,Route A,1388.69,8.13,45.35
skincare,SKU00010,213.43,389,994,42994.47,27,5,367,7,Carrier C,47.04,Supplier_3,Delhi,453,18,195.79,Fail,0.0496,Air,Route A,1374.97,4.96,25.47
accessories,SKU00011,232.3,140,1042,30418.94,744,27,359,5,Carrier B,144.6,Supplier_5,Mumbai,1700,4,48.96,Pass,0.0489,Sea,Route C,143.11,4.89,56.62
accessories,SKU00012,21.73,443,872,40864.19,83,21,177,1,Carrier C,182.86,Supplier_4,Mumbai,4978,1,208.14,Pass,0.027,Rail,Route B,1152.12,2.7,39.25
haircare,SKU00013,221.18,377,1386,29753.57,848,10,220,8,Carrier A,36.95,Supplier_4,Kolkata,2519,13,331.88,Pass,0.0115,Road,Route C,1154.41,1.15,17.31
skincare,SKU00014,246.14,469,950,45250.13,288,17,362,1,Carrier A,173.08,Supplier_5,Chennai,1233,15,419.77,Pass,0.0232,Air,Route C,751.23,2.32,32.01
accessories,SKU00015,136.33,496,1252,12242.94,197,10,149,2,Carrier C,119.55,Supplier_4,Mumbai,1466,16,472.62,Pass,0.0933,Road,Route B,771.87,9.33,50.17
haircare,SKU00016,23.42,35,1451,22262.16,632,28,427,4,Carrier C,181.33,Supplier_2,Mumbai,151,3,350.01,Pending,0.1394,Sea,Route B,1231.43,13.94,94.39
accessories,SKU00017,206.46,341,672,33561.83,969,21,80,8,Carrier B,189.51,Supplier_3,Delhi,1749,15,410.39,Pass,0.103,Air,Route A,1574.97,10.3,69.78
haircare,SKU00018,77.62,433,340,10859.98,701,2,125,1,Carrier A,88.23,Supplier_4,Bangalore,4627,6,409.95,Pass,0.0518,Rail,Route C,1572.38,5.18,22.07
skincare,SKU00019,194.79,16,185,35769.44,101,15,164,7,Carrier C,188.51,Supplier_4,Kolkata,2356,11,408.23,Pass,0.0844,Road,Route A,1698.7,8.44,53.73
accessories,SKU00020,116.1,82,1197,13192.46,302,12,269,7,Carrier A,40.18,Supplier_4,Chennai,4503,19,307.72,Pass,0.02,Rail,Route C,1087.57,2.0,23.59
skincare,SKU00021,192.96,148,401,35530.09,657,22,183,9,Carrier A,91.55,Supplier_4,Chennai,2173,10,473.55,Pass,0.0124,Rail,Route B,552.27,1.24,34.82
skincare,SKU00022,81.15,103,716,40230.38,185,29,210,12,Carrier C,91.43,Supplier_1,Delhi,825,15,447.91,Pass,0.0094,Rail,Route B,1479.07,0.94,43.61
skincare,SKU00023,145.58,401,1565,21266.44,239,5,49,8,Carrier A,52.8,Supplier_5,Kolkata,1518,11,23.71,Pass,0.085,Sea,Route C,370.28,8.5,39.69
cosmetics,SKU00024,159.78,66,923,49506.56,493,5,36,4,Carrier C,99.37,Supplier_5,Kolkata,894,18,78.24,Pass,0.0879,Sea,Route C,88.07,8.79,40.85
skincare,SKU00025,191.15,462,1268,31605.26,215,5,463,8,Carrier B,151.77,Supplier_1,Kolkata,1592,8,496.29,Fail,0.0233,Sea,Route C,321.32,2.33,14.91
accessories,SKU00026,64.93,178,296,37853.47,532,28,249,12,Carrier A,26.13,Supplier_1,Kolkata,1622,1,339.86,Pass,0.1414,Air,Route B,154.8,14.14,95.2
skincare,SKU00027,288.81,297,1594,1127.7,137,22,136,10,Carrier C,98.79,Supplier_4,Delhi,1626,11,87.24,Fail,0.0211,Sea,Route C,873.68,2.11,38.31
skincare,SKU00028,90.3,204,1188,5729.3,293,14,96,4,Carrier B,107.48,Supplier_1,Mumbai,646,4,457.25,Fail,0.0765,Sea,Route B,821.92,7.65,49.13
cosmetics,SKU00029,95.28,174,88,35603.19,942,12,274,2,Carrier A,43.32,Supplier_1,Chennai,1038,17,62.84,Pass,0.0974,Air,Route A,1930.68,9.74,54.67
cosmetics,SKU00030,80.61,432,939,47161.46,759,17,263,7,Carrier B,130.21,Supplier_4,Bangalore,201,19,278.12,Pass,0.0047,Road,Route C,1712.56,0.47,24.58
