market,order_date,category_name,sales,market_order_rank,prev_order_sales,revenue_delta
Africa,2015-01-01 06:00:00,Furniture,4857.61,1,,
Africa,2015-01-02 06:00:00,Furniture,4718.66,2,4857.61,-138.95
Africa,2015-01-02 18:00:00,Food,1715.7,3,4718.66,-3002.96
Africa,2015-01-03 06:00:00,Automotive,219.91,4,1715.7,-1495.79
Africa,2015-01-04 00:00:00,Food,1478.13,5,219.91,1258.22
Africa,2015-01-06 00:00:00,Furniture,1217.5,6,1478.13,-260.63
Africa,2015-01-06 06:00:00,Sports,4347.96,7,1217.5,3130.46
Africa,2015-01-07 06:00:00,Food,4407.71,8,4347.96,59.75
Africa,2015-01-10 00:00:00,Furniture,2350.23,9,4407.71,-2057.48
Africa,2015-01-12 12:00:00,Electronics,4797.09,10,2350.23,2446.86
Africa,2015-01-12 18:00:00,Clothing,2790.29,11,4797.09,-2006.8
Africa,2015-01-14 06:00:00,Automotive,2524.24,12,2790.29,-266.05
Africa,2015-01-14 12:00:00,Sports,2004.82,13,2524.24,-519.42
Africa,2015-01-14 18:00:00,Sports,1538.6,14,2004.82,-466.22
Africa,2015-01-15 00:00:00,Automotive,3485.75,15,1538.6,1947.15
Africa,2015-01-15 18:00:00,Clothing,1716.5,16,3485.75,-1769.25
Africa,2015-01-16 06:00:00,Food,1170.09,17,1716.5,-546.41
Africa,2015-01-17 06:00:00,Electronics,338.98,18,1170.09,-831.11
Africa,2015-01-20 00:00:00,Electronics,216.01,19,338.98,-122.97
Africa,2015-01-22 06:00:00,Sports,3366.3,20,216.01,3150.29
